#    eta               f             df/deta       d2f/deta^2       d3f/deta^3            v Rex
# -0.19878900E+00    # beta 
 0.10500000E+01  0.17632038E-01  0.50185560E-01  0.95099841E-01  0.89418097E-01  0.17531401E-01
 0.10560001E+01  0.17934781E-01  0.50757688E-01  0.95636285E-01  0.89395406E-01  0.17832670E-01
 0.10620001E+01  0.18240965E-01  0.51333035E-01  0.96172592E-01  0.89372329E-01  0.18137360E-01
 0.10680001E+01  0.18550610E-01  0.51911598E-01  0.96708759E-01  0.89348862E-01  0.18445490E-01
 0.10740001E+01  0.18863736E-01  0.52493379E-01  0.97244785E-01  0.89324999E-01  0.18757077E-01
 0.10800001E+01  0.19180362E-01  0.53078375E-01  0.97780666E-01  0.89300738E-01  0.19072142E-01
 0.10860001E+01  0.19500507E-01  0.53666586E-01  0.98316400E-01  0.89276073E-01  0.19390704E-01
 0.10920001E+01  0.19824191E-01  0.54258010E-01  0.98851985E-01  0.89251000E-01  0.19712780E-01
 0.10980001E+01  0.20151432E-01  0.54852648E-01  0.99387419E-01  0.89225516E-01  0.20038389E-01
 0.11040001E+01  0.20482250E-01  0.55450499E-01  0.99922698E-01  0.89199614E-01  0.20367552E-01
 0.11100001E+01  0.20816665E-01  0.56051560E-01  0.10045782E+00  0.89173291E-01  0.20700285E-01
 0.11160001E+01  0.21154695E-01  0.56655832E-01  0.10099278E+00  0.89146543E-01  0.21036608E-01
 0.11220001E+01  0.21496359E-01  0.57263313E-01  0.10152759E+00  0.89119365E-01  0.21376540E-01
 0.11280001E+01  0.21841678E-01  0.57874002E-01  0.10206222E+00  0.89091753E-01  0.21720100E-01
 0.11340001E+01  0.22190670E-01  0.58487899E-01  0.10259670E+00  0.89063701E-01  0.22067305E-01
 0.11400001E+01  0.22543355E-01  0.59105002E-01  0.10313100E+00  0.89035206E-01  0.22418175E-01
 0.11460001E+01  0.22899751E-01  0.59725310E-01  0.10366513E+00  0.89006263E-01  0.22772729E-01
 0.11520001E+01  0.23259878E-01  0.60348823E-01  0.10419908E+00  0.88976867E-01  0.23130984E-01
 0.11580001E+01  0.23623756E-01  0.60975539E-01  0.10473286E+00  0.88947014E-01  0.23492961E-01
 0.11640001E+01  0.23991403E-01  0.61605457E-01  0.10526645E+00  0.88916699E-01  0.23858676E-01
 0.11700001E+01  0.24362838E-01  0.62238576E-01  0.10579986E+00  0.88885918E-01  0.24228149E-01
 0.11760001E+01  0.24738082E-01  0.62874895E-01  0.10633309E+00  0.88854665E-01  0.24601399E-01
 0.11820001E+01  0.25117152E-01  0.63514413E-01  0.10686613E+00  0.88822937E-01  0.24978444E-01
 0.11880001E+01  0.25500069E-01  0.64157128E-01  0.10739898E+00  0.88790728E-01  0.25359302E-01
 0.11940001E+01  0.25886851E-01  0.64803040E-01  0.10793163E+00  0.88758034E-01  0.25743991E-01
 0.12000001E+01  0.26277517E-01  0.65452148E-01  0.10846408E+00  0.88724850E-01  0.26132532E-01
 0.12060001E+01  0.26672088E-01  0.66104449E-01  0.10899633E+00  0.88691172E-01  0.26524941E-01
 0.12120001E+01  0.27070581E-01  0.66759944E-01  0.10952838E+00  0.88656994E-01  0.26921237E-01
 0.12180001E+01  0.27473016E-01  0.67418630E-01  0.11006023E+00  0.88622311E-01  0.27321439E-01
 0.12240001E+01  0.27879413E-01  0.68080506E-01  0.11059186E+00  0.88587120E-01  0.27725565E-01
 0.12300001E+01  0.28289790E-01  0.68745572E-01  0.11112328E+00  0.88551415E-01  0.28133634E-01
 0.12360001E+01  0.28704166E-01  0.69413826E-01  0.11165449E+00  0.88515192E-01  0.28545663E-01
 0.12420001E+01  0.29122561E-01  0.70085266E-01  0.11218547E+00  0.88478445E-01  0.28961672E-01
 0.12480001E+01  0.29544994E-01  0.70759892E-01  0.11271624E+00  0.88441169E-01  0.29381678E-01
 0.12540001E+01  0.29971483E-01  0.71437702E-01  0.11324678E+00  0.88403361E-01  0.29805699E-01
 0.12600001E+01  0.30402049E-01  0.72118694E-01  0.11377709E+00  0.88365014E-01  0.30233755E-01
 0.12660001E+01  0.30836709E-01  0.72802867E-01  0.11430717E+00  0.88326124E-01  0.30665863E-01
 0.12720001E+01  0.31275484E-01  0.73490221E-01  0.11483701E+00  0.88286686E-01  0.31102040E-01
 0.12780001E+01  0.31718392E-01  0.74180752E-01  0.11536662E+00  0.88246696E-01  0.31542307E-01
 0.12840001E+01  0.32165452E-01  0.74874461E-01  0.11589599E+00  0.88206147E-01  0.31986680E-01
 0.12900001E+01  0.32616683E-01  0.75571345E-01  0.11642511E+00  0.88165035E-01  0.32435178E-01
 0.12960001E+01  0.33072105E-01  0.76271403E-01  0.11695398E+00  0.88123356E-01  0.32887819E-01
 0.13020001E+01  0.33531736E-01  0.76974634E-01  0.11748260E+00  0.88081103E-01  0.33344621E-01
 0.13080001E+01  0.33995595E-01  0.77681035E-01  0.11801096E+00  0.88038273E-01  0.33805602E-01
 0.13140001E+01  0.34463702E-01  0.78390606E-01  0.11853907E+00  0.87994859E-01  0.34270780E-01
 0.13200001E+01  0.34936076E-01  0.79103345E-01  0.11906691E+00  0.87950858E-01  0.34740172E-01
 0.13260001E+01  0.35412735E-01  0.79819250E-01  0.11959449E+00  0.87906263E-01  0.35213798E-01
 0.13320001E+01  0.35893698E-01  0.80538320E-01  0.12012180E+00  0.87861070E-01  0.35691675E-01
 0.13380001E+01  0.36378985E-01  0.81260553E-01  0.12064884E+00  0.87815274E-01  0.36173820E-01
 0.13440001E+01  0.36868614E-01  0.81985948E-01  0.12117560E+00  0.87768869E-01  0.36660253E-01
 0.13500001E+01  0.37362604E-01  0.82714502E-01  0.12170208E+00  0.87721851E-01  0.37150989E-01
 0.13560001E+01  0.37860975E-01  0.83446214E-01  0.12222827E+00  0.87674214E-01  0.37646048E-01
 0.13620001E+01  0.38363745E-01  0.84181083E-01  0.12275418E+00  0.87625953E-01  0.38145448E-01
 0.13680001E+01  0.38870934E-01  0.84919106E-01  0.12327980E+00  0.87577062E-01  0.38649205E-01
 0.13740001E+01  0.39382559E-01  0.85660282E-01  0.12380512E+00  0.87527538E-01  0.39157337E-01
 0.13800001E+01  0.39898640E-01  0.86404610E-01  0.12433014E+00  0.87477373E-01  0.39669863E-01
 0.13860001E+01  0.40419197E-01  0.87152086E-01  0.12485486E+00  0.87426564E-01  0.40186800E-01
 0.13920001E+01  0.40944247E-01  0.87902710E-01  0.12537927E+00  0.87375105E-01  0.40708165E-01
